[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 0.00%, 16.55MiB / 3.871GiB, 0.42%, 2.91kB / 182B, 58.5MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
